PurchaseOrderID;ProductID;VendorID;ShipMethodID;UnitPrice;OrderQty;Total
1;1;1580;3;50.26;4;201.04
2;359;1496;5;45.12;3;135.36
2;360;1496;5;45.5805;3;136.7415
3;530;1494;2;16.086;550;8847.3
4;4;1650;5;57.0255;3;171.0765
5;512;1654;4;37.086;550;20397.3
6;513;1664;3;26.5965;550;14628.075
7;317;1678;3;27.0585;550;14882.175
7;318;1678;3;33.579;550;18468.45
7;319;1678;3;46.0635;550;25334.925
8;403;1616;5;47.4705;3;142.4115
8;404;1616;5;45.3705;3;136.1115
8;405;1616;5;49.644;3;148.932
8;406;1616;5;45.3705;3;136.1115
8;407;1616;5;43.2705;3;129.8115
9;422;1492;5;47.523;3;142.569
9;423;1492;5;45.423;3;136.269
9;424;1492;5;49.6965;3;149.0895
9;425;1492;5;45.423;3;136.269
9;426;1492;5;43.323;3;129.969
10;320;1602;5;47.4705;3;142.4115
10;321;1602;5;42.798;3;128.394
10;322;1602;5;25.4205;60;1525.23
11;438;1540;4;41.223;3;123.669
11;439;1540;4;45.4965;3;136.4895
11;440;1540;4;41.223;3;123.669
11;441;1540;4;39.123;3;117.369
12;941;1628;5;62.9895;550;34644.225
13;320;1604;4;45.3705;3;136.1115
13;321;1604;4;40.488;3;121.464
13;322;1604;4;26.3655;60;1581.93
14;504;1690;5;48.762;3;146.286
15;497;1566;5;34.188;3;102.564
16;323;1698;5;50.2635;3;150.7905
17;523;1560;5;10.731;550;5902.05
17;524;1560;5;14.1225;550;7767.375
18;492;1692;5;50.2635;60;3015.81
18;493;1692;5;57.1515;60;3429.09
18;494;1692;5;53.2035;60;3192.21
18;495;1692;5;63.693;60;3821.58
18;496;1692;5;48.909;60;2934.54
19;908;1696;2;21.0945;550;11601.975
19;909;1696;2;30.4395;550;16741.725
19;910;1696;2;40.9395;550;22516.725
19;911;1696;2;21.0945;550;11601.975
19;912;1696;2;30.4395;550;16741.725
20;506;1504;1;9.198;60;551.88
21;351;1544;1;5.775;550;3176.25
21;352;1544;1;1.155;550;635.25
21;679;1544;1;5.775;550;3176.25
22;507;1530;2;23.394;550;12866.7
22;508;1530;2;27.6465;550;15205.575
23;355;1508;1;1.365;550;750.75
23;940;1508;1;62.9895;550;34644.225
23;535;1508;1;3.486;550;1917.3
24;351;1694;1;6.195;550;3407.25
24;352;1694;1;1.47;550;808.5
25;507;1624;2;22.1655;550;12191.025
25;508;1624;2;29.2845;550;16106.475
26;491;1548;2;19.9815;3;59.9445
27;341;1598;4;41.1705;3;123.5115
27;342;1598;4;39.0705;3;117.2115
27;343;1598;4;43.344;3;130.032
27;344;1598;4;39.0705;3;117.2115
27;345;1598;4;36.9705;3;110.9115
27;346;1598;4;41.244;3;123.732
28;935;1658;5;31.4895;550;17319.225
28;936;1658;5;48.2895;550;26559.225
29;375;1536;4;43.344;3;130.032
29;376;1536;4;39.0705;3;117.2115
29;377;1536;4;36.9705;3;110.9115
29;378;1536;4;41.244;3;123.732
29;379;1536;4;36.9705;3;110.9115
30;476;1568;2;15.8865;550;8737.575
30;477;1568;2;11.6655;550;6416.025
30;478;1568;2;11.088;550;6098.4
31;402;1648;5;47.4705;3;142.4115
32;510;1646;2;23.079;550;12693.45
32;511;1646;2;29.274;550;16100.7
33;403;1672;4;45.3705;3;136.1115
33;404;1672;4;49.644;3;148.932
33;405;1672;4;45.3705;3;136.1115
34;525;1600;1;2.3205;550;1276.275
35;526;1522;1;3.6435;550;2003.925
36;908;1570;2;21.0945;550;11601.975
36;909;1570;2;30.4395;550;16741.725
36;913;1570;2;40.9395;550;22516.725
37;356;1516;1;3.6015;60;216.09
37;357;1516;1;3.9795;60;238.77
38;935;1506;5;31.4895;550;17319.225
38;936;1506;5;48.2895;550;26559.225
39;524;1626;2;12.9675;550;7132.125
40;911;1542;2;21.0945;550;11601.975
40;912;1542;2;30.4395;550;16741.725
41;910;1610;4;40.9395;550;22516.725
42;937;1638;5;62.9895;550;34644.225
43;463;1582;5;47.523;3;142.569
43;464;1582;5;45.423;3;136.269
43;465;1582;5;49.6965;3;149.0895
44;462;1510;5;47.6805;3;143.0415
45;510;1526;2;23.4045;550;12872.475
45;511;1526;2;27.867;550;15326.85
46;527;1644;1;6.7515;550;3713.325
47;938;1680;5;31.4895;550;17319.225
47;939;1680;5;48.2895;550;26559.225
47;509;1680;5;36.2775;550;19952.625
48;492;1584;5;50.7465;60;3044.79
48;493;1584;5;58.2645;60;3495.87
48;494;1584;5;50.7465;60;3044.79
48;495;1584;5;62.9265;60;3775.59
48;496;1584;5;49.6545;60;2979.27
49;523;1620;5;10.3845;550;5711.475
50;422;1666;5;47.6805;3;143.0415
50;423;1666;5;45.5805;3;136.7415
50;424;1666;5;49.854;3;149.562
51;490;1592;2;12.7155;3;38.1465
51;491;1592;2;19.9395;3;59.8185
52;528;1618;4;38.157;3;114.471
53;505;1612;4;44.2155;3;132.6465
54;938;1586;5;31.4895;550;17319.225
54;939;1586;5;48.2895;550;26559.225
55;358;1500;1;6.9825;60;418.95
56;375;1656;4;43.2705;3;129.8115
56;376;1656;4;47.544;3;142.632
56;377;1656;4;43.2705;3;129.8115
56;378;1656;4;41.1705;3;123.5115
57;356;1572;1;3.381;60;202.86
57;357;1572;1;4.3155;60;258.93
58;375;1562;4;43.2705;3;129.8115
58;376;1562;4;41.1705;3;123.5115
58;377;1562;4;45.444;3;136.332
58;378;1562;4;41.1705;3;123.5115
58;379;1562;4;39.0705;3;117.2115
59;490;1662;2;12.3585;3;37.0755
60;513;1682;4;39.1965;550;21558.075
61;403;1686;4;45.444;3;136.332
61;404;1686;4;41.1705;3;123.5115
61;405;1686;4;39.0705;3;117.2115
61;406;1686;4;43.344;3;130.032
62;931;1684;5;34.8705;550;19178.775
62;932;1684;5;39.7635;550;21869.925
63;422;1534;5;47.6805;3;143.0415
63;423;1534;5;45.5805;3;136.7415
63;424;1534;5;49.854;3;149.562
64;341;1614;5;47.5755;3;142.7265
64;342;1614;5;45.4755;3;136.4265
65;931;1588;5;34.3455;550;18890.025
65;932;1588;5;39.2385;550;21581.175
66;341;1622;5;47.4705;3;142.4115
66;342;1622;5;45.3705;3;136.1115
66;343;1622;5;49.644;3;148.932
66;344;1622;5;45.3705;3;136.1115
67;928;1632;5;32.7705;550;18023.775
67;929;1632;5;37.086;550;20397.3
67;930;1632;5;43.0395;550;23671.725
68;332;1608;5;10.815;550;5948.25
69;948;1576;5;82.8345;550;45558.975
69;907;1576;5;82.8345;550;45558.975
70;325;1590;1;0.21;1250;262.5
70;326;1590;1;0.21;1250;262.5
71;320;1514;5;49.644;3;148.932
71;321;1514;5;44.3205;3;132.9615
71;322;1514;5;28.6965;60;1721.79
72;930;1498;4;42.5145;550;23382.975
72;921;1498;4;5.586;550;3072.3
73;952;1674;2;15.7395;60;944.37
74;933;1652;4;43.4595;550;23902.725
74;934;1652;4;37.6215;550;20691.825
75;317;1578;3;29.5785;550;16268.175
75;318;1578;3;36.099;550;19854.45
75;319;1578;3;48.5835;550;26720.925
76;928;1538;5;32.2455;550;17735.025
76;929;1538;5;36.561;550;20108.55
77;319;1556;4;46.4205;550;25531.275
78;359;1554;5;47.523;3;142.569
78;360;1554;5;45.423;3;136.269
78;361;1554;5;49.6965;3;149.0895
78;362;1554;5;45.423;3;136.269
78;363;1554;5;43.323;3;129.969
79;2;1688;4;41.916;3;125.748
80;1;1580;5;50.2635;3;150.7905
81;361;1496;5;49.854;3;149.562
81;362;1496;5;45.5805;3;136.7415
81;363;1496;5;43.4805;3;130.4415
81;364;1496;5;47.754;3;143.262
82;530;1494;2;16.086;550;8847.3
83;4;1650;5;57.0255;3;171.0765
84;512;1654;4;37.086;550;20397.3
85;513;1664;3;26.5965;550;14628.075
86;317;1678;3;27.0585;550;14882.175
86;318;1678;3;33.579;550;18468.45
86;319;1678;3;46.0635;550;25334.925
87;408;1616;5;47.544;3;142.632
87;409;1616;5;43.2705;3;129.8115
87;410;1616;5;41.1705;3;123.5115
87;411;1616;5;45.444;3;136.332
87;412;1616;5;41.1705;3;123.5115
87;413;1616;5;39.0705;3;117.2115
88;427;1492;5;47.5965;3;142.7895
88;428;1492;5;43.323;3;129.969
88;429;1492;5;41.223;3;123.669
88;430;1492;5;45.4965;3;136.4895
88;431;1492;5;41.223;3;123.669
89;320;1602;5;47.4705;3;142.4115
89;321;1602;5;42.798;3;128.394
89;322;1602;5;25.4205;60;1525.23
90;442;1540;4;43.3965;3;130.1895
90;443;1540;4;39.123;3;117.369
90;444;1540;4;37.023;3;111.069
91;941;1628;5;62.9895;550;34644.225
92;320;1604;4;45.3705;3;136.1115
92;321;1604;4;40.488;3;121.464
93;504;1690;5;48.762;3;146.286
94;497;1566;5;34.188;3;102.564
95;323;1698;5;50.2635;3;150.7905
96;523;1560;5;10.731;550;5902.05
96;524;1560;5;14.1225;550;7767.375
97;492;1692;5;50.2635;60;3015.81
97;493;1692;5;57.1515;60;3429.09
97;494;1692;5;53.2035;60;3192.21
97;495;1692;5;63.693;60;3821.58
97;496;1692;5;48.909;60;2934.54
98;913;1696;4;40.9395;550;22516.725
98;914;1696;4;21.0945;550;11601.975
98;915;1696;4;30.4395;550;16741.725
98;916;1696;4;40.9395;550;22516.725
99;506;1504;1;9.198;60;551.88
100;351;1544;1;5.775;550;3176.25
100;352;1544;1;1.155;550;635.25
100;679;1544;1;5.775;550;3176.25
101;507;1530;2;23.394;550;12866.7
101;508;1530;2;27.6465;550;15205.575
102;355;1508;1;1.365;550;750.75
102;940;1508;1;62.9895;550;34644.225
103;679;1694;1;6.195;550;3407.25
104;507;1624;2;22.1655;550;12191.025
104;508;1624;2;29.2845;550;16106.475
105;491;1548;2;19.9815;3;59.9445
106;347;1598;4;36.9705;3;110.9115
106;348;1598;4;34.8705;3;104.6115
106;349;1598;4;39.144;3;117.432
107;935;1658;5;31.4895;550;17319.225
107;936;1658;5;48.2895;550;26559.225
108;380;1536;4;43.218;3;129.654
108;381;1536;4;47.4915;3;142.4745
108;382;1536;4;43.2705;3;129.8115
108;383;1536;4;47.544;3;142.632
108;384;1536;4;43.2705;3;129.8115
109;479;1568;2;15.8865;550;8737.575
109;480;1568;2;11.6655;550;6416.025
109;481;1568;2;11.088;550;6098.4
109;482;1568;2;8.757;550;4816.35
109;483;1568;2;9.6915;550;5330.325
110;402;1648;5;47.4705;3;142.4115
111;512;1646;5;34.9755;550;19236.525
112;406;1672;4;43.2705;3;129.8115
112;407;1672;4;47.544;3;142.632
113;525;1600;1;2.3205;550;1276.275
114;526;1522;1;3.6435;550;2003.925
115;908;1570;2;21.0945;550;11601.975
115;909;1570;2;30.4395;550;16741.725
115;913;1570;2;40.9395;550;22516.725
116;356;1516;1;3.6015;60;216.09
116;357;1516;1;3.9795;60;238.77
117;935;1506;5;31.4895;550;17319.225
117;936;1506;5;48.2895;550;26559.225
118;524;1626;2;12.9675;550;7132.125
119;911;1542;2;21.0945;550;11601.975
119;912;1542;2;30.4395;550;16741.725
120;910;1610;4;40.9395;550;22516.725
121;937;1638;5;62.9895;550;34644.225
122;466;1582;4;45.423;3;136.269
122;467;1582;4;43.323;3;129.969
123;462;1510;5;47.6805;3;143.0415
124;510;1526;2;23.4045;550;12872.475
124;511;1526;2;27.867;550;15326.85
125;527;1644;1;6.7515;550;3713.325
126;938;1680;5;31.4895;550;17319.225
126;939;1680;5;48.2895;550;26559.225
126;509;1680;5;36.2775;550;19952.625
127;492;1584;5;50.7465;60;3044.79
127;493;1584;5;58.2645;60;3495.87
127;494;1584;5;50.7465;60;3044.79
127;495;1584;5;62.9265;60;3775.59
127;496;1584;5;49.6545;60;2979.27
128;523;1620;5;10.3845;550;5711.475
129;425;1666;4;45.5805;3;136.7415
129;426;1666;4;43.4805;3;130.4415
129;427;1666;4;47.754;3;143.262
129;428;1666;4;43.4805;3;130.4415
129;429;1666;4;41.3805;3;124.1415
130;490;1592;2;12.7155;3;38.1465
130;491;1592;2;19.9395;3;59.8185
131;528;1618;4;38.157;3;114.471
132;505;1612;4;44.2155;3;132.6465
133;938;1586;5;31.4895;550;17319.225
133;939;1586;5;48.2895;550;26559.225
134;358;1500;1;6.9825;60;418.95
135;379;1656;4;45.444;3;136.332
135;380;1656;4;41.1705;3;123.5115
135;381;1656;4;39.0705;3;117.2115
135;438;1656;4;47.6805;3;143.0415
135;439;1656;4;45.5805;3;136.7415
135;440;1656;4;49.854;3;149.562
135;441;1656;4;45.5805;3;136.7415
135;442;1656;4;43.4805;3;130.4415
135;443;1656;4;47.754;3;143.262
